3,1
8,1
9,1
11,1
17,1
19,1
22,1
23,1
25,1
26,1
27,1
28,1
31,1
34,1
38,1
41,1
44,1
45,1
46,1
51,1
52,1
55,1
57,1
60,1
61,1
62,1
63,1
64,1
65,1
67,1
68,1
70,1
71,1
72,1
73,1
74,1
78,1
79,1
81,1
82,1
83,1
84,1
86,1
88,1
89,1
90,1
93,1
94,1
95,1
96,1
99,1
102,1
103,1
104,1
108,1
110,1
112,1
115,1
117,1
119,1
121,2
123,2
126,2
127,2
128,2
129,2
130,2
133,2
136,2
138,2
143,2
144,2
148,2
149,2
151,2
155,2
157,2
158,2
160,2
163,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
174,2
176,2
178,2
179,2
180,2
183,2
184,2
185,2
186,2
189,2
190,2
194,2
199,2
202,2
203,2
205,2
206,2
208,2
209,2
211,2
213,2
214,2
215,2
220,2
224,2
225,2
226,2
229,2
230,2
231,2
232,2
234,2
240,3
244,3
246,3
248,3
249,3
250,3
251,3
253,3
254,3
255,3
256,3
261,3
264,3
267,3
268,3
271,4
272,4
273,4
275,4
276,4
277,4
278,4
282,4
283,4
285,4
289,4
290,4
294,4
297,4
298,4
301,5
302,5
303,5
305,5
307,5
308,5
309,5
312,5
315,5
316,5
318,5
319,5
321,5
327,5
328,5
330,0
332,0
335,0
338,0
340,0
341,0
343,0
344,0
345,0
347,0
352,0
353,0
354,0
355,0
358,0
